Minnesota Black Crappie Data for AFM Analysis-2006 Electrofishing,,,,
Lake,age,tl,wt,sex
Upper_Mission,1,75,5,1
Upper_Mission,1,75,6,1
Upper_Mission,1,77,5,1
Upper_Mission,1,81,7,1
Upper_Mission,2,112,19,1
Upper_Mission,2,117,23,1
Upper_Mission,3,153,60,1
Upper_Mission,3,175,86,1
Upper_Mission,3,176,80,1
Upper_Mission,3,177,83,1
Upper_Mission,3,179,84,1
Upper_Mission,3,180,87,1
Upper_Mission,3,180,91,1
Upper_Mission,3,182,85,1
Upper_Mission,3,182,87,1
Upper_Mission,3,182,96,1
Upper_Mission,3,186,99,1
Upper_Mission,3,190,94,1
Upper_Mission,4,221,165,1
Upper_Mission,4,230,198,1
Upper_Mission,4,230,178,1
Upper_Mission,4,238,233,1
Upper_Mission,5,239,207,1
Upper_Mission,5,240,201,1
Upper_Mission,5,241,209,1
Upper_Mission,5,242,192,1
Upper_Mission,5,246,236,1
Upper_Mission,5,247,223,1
Upper_Mission,5,249,237,1
Upper_Mission,5,249,244,1
Upper_Mission,5,250,234,1
Upper_Mission,5,250,247,1
Upper_Mission,5,250,231,1
Upper_Mission,5,251,246,1
Upper_Mission,5,252,259,1
Upper_Mission,5,252,236,1
Upper_Mission,5,253,261,1
Upper_Mission,5,259,272,1
Upper_Mission,5,259,265,1
Upper_Mission,5,260,256,1
Upper_Mission,5,261,257,1
Upper_Mission,5,262,282,1
Upper_Mission,5,263,280,1
Upper_Mission,5,267,295,1
Upper_Mission,1,77,6,2
Upper_Mission,1,78,7,2
Upper_Mission,2,109,18,2
Upper_Mission,2,126,28,2
Upper_Mission,3,154,54,2
Upper_Mission,3,159,60,2
Upper_Mission,3,159,61,2
Upper_Mission,3,159,60,2
Upper_Mission,3,159,53,2
Upper_Mission,3,162,60,2
Upper_Mission,3,165,66,2
Upper_Mission,3,165,68,2
Upper_Mission,3,167,65,2
Upper_Mission,3,169,74,2
Upper_Mission,3,169,66,2
Upper_Mission,3,169,72,2
Upper_Mission,3,170,68,2
Upper_Mission,3,170,80,2
Upper_Mission,3,170,77,2
Upper_Mission,3,171,72,2
Upper_Mission,3,171,82,2
Upper_Mission,3,172,78,2
Upper_Mission,3,174,77,2
Upper_Mission,3,174,80,2
Upper_Mission,3,175,79,2
Upper_Mission,3,175,81,2
Upper_Mission,3,178,80,2
Upper_Mission,3,179,83,2
Upper_Mission,3,180,86,2
Upper_Mission,3,180,78,2
Upper_Mission,3,181,85,2
Upper_Mission,3,181,84,2
Upper_Mission,3,182,98,2
Upper_Mission,3,185,99,2
Upper_Mission,3,187,99,2
Upper_Mission,3,189,108,2
Upper_Mission,4,209,133,2
Upper_Mission,4,225,188,2
Upper_Mission,4,230,188,2
Upper_Mission,5,232,207,2
Upper_Mission,5,235,211,2
Upper_Mission,5,240,200,2
Upper_Mission,5,240,198,2
Upper_Mission,5,242,209,2
Upper_Mission,5,243,216,2
Upper_Mission,5,245,225,2
Upper_Mission,5,247,234,2
Upper_Mission,5,247,231,2
Upper_Mission,5,249,249,2
Upper_Mission,5,250,237,2
Hubert,5,269,322,1
Hubert,5,272,331,2
Hubert,4,221,141,1
Hubert,4,249,241,1
Hubert,7,306,523,1
Hubert,5,272,329,1
Hubert,4,235,207,2
Hubert,4,234,181,2
Hubert,4,243,211,1
Hubert,4,228,188,1
Hubert,4,237,206,1
Hubert,3,180,80,2
Hubert,4,223,158,2
Hubert,3,175,74,1
Hubert,5,285,389,1
Hubert,5,287,486,1
Hubert,5,286,360,2
Hubert,5,289,388,2
Hubert,5,291,372,1
Hubert,7,305,428,1
Hubert,7,311,504,2
Hubert,7,328,591,1
Hubert,7,312,494,1
Hubert,4,235,210,1
Hubert,4,239,222,2
Hubert,4,239,224,1
Hubert,4,237,220,2
Hubert,4,206,132,2
Hubert,4,246,242,1
Hubert,4,240,217,2
Hubert,5,272,334,2
Hubert,4,257,277,1
Hubert,5,285,360,1
Hubert,5,266,283,1
Hubert,4,219,153,2
Hubert,4,184,81,1
Hubert,4,261,285,1
Hubert,5,297,398,1
Hubert,5,277,342,2
Hubert,4,247,258,2
Hubert,4,225,183,2
Hubert,4,249,245,1
Hubert,5,270,305,1
Hubert,4,254,248,1
Hubert,5,287,359,1
Hubert,4,254,275,2
Hubert,4,249,235,1
Hubert,4,237,201,2
Hubert,4,248,250,2
Hubert,5,256,256,2
Hubert,5,285,364,2
Hubert,5,276,338,1
Hubert,4,252,265,1
Hubert,4,245,215,1
Hubert,4,221,171,1
Hubert,5,272,332,1
Hubert,4,225,179,2
Hubert,4,245,229,1
Hubert,4,190,88,2
