River,COMID,N_areasqkm,UMD,UDOR,N_total_n_yield,N_total_p_yield,N_urban,N_forest,N_agriculture
Ontonagon,11947179,3598.2639,1.192,8.984,50.68959217,11.28620251,2.598303032,68.96113151,3.442835307
Sturgeon,11939441,2438.9352,2.148,1.551,109.7504276,22.40770509,3.736261628,64.51178777,5.342503565
Kewaunee,13065641,369.9567,0.000,0.000,6970.785409,1245.008983,6.64788609,8.175389174,77.52534283
Oconto,6810610,2530.0431,2.056,4.626,1711.886515,306.9111019,5.095691848,40.98202912,21.30960931
Peshtigo,6821596,2920.1796,2.460,6.834,1043.675576,188.6280969,4.439500913,43.0740938,15.38224224
Menominee,6848697,10538.1945,4.052,8.651,232.1584151,43.56442608,3.896591584,53.46558084,4.326769638
Cedar,6860618,720.7491213,0.000,0.015,607.8919526,113.1690115,4.328158051,28.29842437,9.598558479
Escanaba,11962312,2504.3256,4.153,10.781,139.1590411,26.28543449,3.986402567,45.09287051,2.507812882
Whitefish,12014864,800.1279,0.000,0.018,166.8670659,33.6086111,2.244353684,44.43242137,3.532722706
Fox,12005077,16642.5597,3.102,25.686,3291.291643,570.9756835,8.382637798,25.11366025,40.94379905
Macatawa,9017879,442.3734,0.000,0.000,6408.698962,1464.183788,34.41771137,7.380077554,50.64126821
Kalamazoo,3468447,5272.1775,3.648,2.131,4117.961533,832.332151,13.67889074,21.42532189,48.0263743
Grand,9005799,14450.8734,2.978,1.534,4246.645944,749.5544087,14.81887801,16.63632594,53.43558127
Pere Marquette,8992070,1957.5882,0.000,0.182,752.4116696,129.9473844,5.94028407,56.97936369,12.28298679
White,8994418,1393.7544,1.572,0.351,1556.615092,263.9946918,7.289282818,49.54552969,18.2277595
Muskegon,12135518,7061.8572,1.060,2.533,1466.881614,269.9275436,8.521383015,39.47056449,19.54559914
Manistee,12121910,5050.0863,1.031,3.908,416.3795764,78.79068623,5.986073941,55.38009915,9.017364713
Boardman,13057708,735.1425,1.307,4.252,458.3541345,83.63643824,12.5499342,44.06023322,9.807363878
Manistique,12222816,3809.952,0.602,4.882,50.91839834,10.46533999,2.925273074,37.36530539,0.96147668
Millecoquins,12214835,263.5398,0.000,0.143,235.3535974,49.14980584,3.848754533,36.23361633,12.23951752
Black,12501935,3870.3006,3.174,13.575,281.1580999,57.5168517,6.282698042,47.81833225,6.778752534
